team0,team1,team0_score,team1_score,ot,ot_time,team0_pl,team1_pl,game_num,player_num,time,region,team0_match_score,team1_match_score,team0_win,team1_win,goals_scored
Yer Maw,Celestial,2.0,3.0,True,1:11,"['LuiisP', 'Saizen']","['Mikeboy', 'RizuaL']",2,2,"May 22, 2020 - 20:00 CEST",Europe,2,3,False,True,5.0
Yer Maw,Celestial,7.0,5.0,False,0:00,['LuiisP'],['Rizex45'],3,1,"May 22, 2020 - 20:00 CEST",Europe,2,3,True,False,12.0
Yer Maw,Celestial,5.0,3.0,False,0:00,['LuiisP'],['Rizex45'],4,1,"May 22, 2020 - 20:00 CEST",Europe,2,3,True,False,8.0
Yer Maw,Celestial,2.0,4.0,False,0:00,"['Calzafy', 'LuiisP', 'Saizen']","['Mikeboy', 'Rizex45', 'RizuaL']",5,3,"May 22, 2020 - 20:00 CEST",Europe,2,3,False,True,6.0
Solary,John MacDonald's Happy Meal,3.0,1.0,False,0:00,"['ExoTiiK', 'Kérian', 'Meloshisu']","['Breezi', 'Hibbs', 'rehzzy']",1,3,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,4.0
Solary,John MacDonald's Happy Meal,3.0,2.0,False,0:00,"['ExoTiiK', 'Meloshisu']","['Breezi', 'Hibbs']",2,2,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,5.0
Solary,John MacDonald's Happy Meal,29.0,6.0,False,0:00,['ExoTiiK'],['Breezi'],3,1,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,35.0
Magnifico,Sauce,3.0,1.0,False,0:00,"['AtomiK', 'Emre', 'Yukiss']","['Mognus', 'Tigreee', 'al0t']",1,3,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,4.0
Magnifico,Sauce,2.0,1.0,False,0:00,"['AtomiK', 'Yukiss']","['Mognus', 'Tigreee']",2,2,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,3.0
Magnifico,Sauce,8.0,4.0,False,0:00,['Emre'],['OSM'],3,1,"May 22, 2020 - 21:00 CEST",Europe,3,0,True,False,12.0
Team Singularity,FC Barcelona,4.0,0.0,False,0:00,"['Scrub Killa', 'ThO', 'noly']","['Deevo', 'Ronaky', 'Seeb']",1,3,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,4.0
Team Singularity,FC Barcelona,2.0,3.0,True,0:55,"['Scrub Killa', 'ThO']","['Deevo', 'Ronaky']",2,2,"May 22, 2020 - 19:00 CEST",Europe,3,2,False,True,5.0
Team Singularity,FC Barcelona,5.0,6.0,True,0:54,['ThO'],['Ronaky'],3,1,"May 22, 2020 - 19:00 CEST",Europe,3,2,False,True,11.0
Team Singularity,FC Barcelona,14.0,3.0,False,0:00,['Scrub Killa'],['Ronaky'],4,1,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,17.0
Team Singularity,FC Barcelona,7.0,3.0,False,0:00,"['Scrub Killa', 'ThO']","['Deevo', 'Ronaky']",5,2,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,10.0
Canyons,Dignitas,2.0,3.0,True,0:44,"['Stake', 'Tox', 'Zamué']","['Joreuz', 'ViolentPanda', 'Yukeo']",1,3,"May 22, 2020 - 20:00 CEST",Europe,0,3,False,True,5.0
Canyons,Dignitas,1.0,2.0,False,0:00,"['Stake', 'Zamué']","['Joreuz', 'Yukeo']",2,2,"May 22, 2020 - 20:00 CEST",Europe,0,3,False,True,3.0
Canyons,Dignitas,5.0,7.0,False,0:00,['Zamué'],['Joreuz'],3,1,"May 22, 2020 - 20:00 CEST",Europe,0,3,False,True,12.0
Tree of a Kind,Celestial,2.0,1.0,False,0:00,"['Mittaen', 'Tahz', 'eekso']","['Mikeboy', 'Rizex45', 'RizuaL']",1,3,"May 22, 2020 - 22:00 CEST",Europe,3,0,True,False,3.0
Tree of a Kind,Celestial,2.0,0.0,False,0:00,"['Mittaen', 'eekso']","['Mikeboy', 'RizuaL']",2,2,"May 22, 2020 - 22:00 CEST",Europe,3,0,True,False,2.0
Tree of a Kind,Celestial,5.0,4.0,False,0:00,['eekso'],['RizuaL'],3,1,"May 22, 2020 - 22:00 CEST",Europe,3,0,True,False,9.0
Solary,Magnifico,2.0,4.0,False,0:00,"['ExoTiiK', 'Kérian', 'Meloshisu']","['AtomiK', 'Emre', 'Yukiss']",1,3,"May 22, 2020 - 22:00 CEST",Europe,3,2,False,True,6.0
Solary,Magnifico,2.0,5.0,False,0:00,"['ExoTiiK', 'Meloshisu']","['AtomiK', 'Yukiss']",2,2,"May 22, 2020 - 22:00 CEST",Europe,3,2,False,True,7.0
Solary,Magnifico,5.0,4.0,False,0:00,['ExoTiiK'],['Emre'],3,1,"May 22, 2020 - 22:00 CEST",Europe,3,2,True,False,9.0
Solary,Magnifico,1.0,0.0,False,0:00,"['ExoTiiK', 'Kérian', 'Meloshisu']","['AtomiK', 'Emre', 'Yukiss']",4,3,"May 22, 2020 - 22:00 CEST",Europe,3,2,True,False,1.0
Solary,Magnifico,2.0,1.0,True,2:47,"['ExoTiiK', 'Kérian', 'Meloshisu']","['AtomiK', 'Emre', 'Yukiss']",5,3,"May 22, 2020 - 22:00 CEST",Europe,3,2,True,False,3.0
